crew_id,name,helpline_email,city,address,skill,experience_years
CRW001,Nicole Morrison,support1@roadsafehq.com,Bhopal,"Unit 5523 Box 4162, DPO AE 15398",Electrical Crew,20
CRW002,Allen Ford,support2@roadsafehq.com,Mumbai,"09170 Nathan Roads, Port Thomas, CT 26771",Emergency Response,2
CRW003,Brittany Leblanc,support3@roadsafehq.com,Mumbai,"93844 Smith Crossroad Suite 641, Smithside, WV 51485",Mechanical Crew,15
CRW004,Sara Barker,support4@roadsafehq.com,Mumbai,"26774 Brown Plains Apt. 259, Garzaborough, TN 91628",Emergency Response,18
CRW005,Tyler Smith,support5@roadsafehq.com,Delhi,"92565 Weiss Forest, West Kenneth, NV 60507",Mechanical Crew,9
CRW006,Kristen Johnson,support6@roadsafehq.com,Lucknow,"5487 Gomez Ridge Suite 803, New Jameshaven, MA 68116",Emergency Response,7
CRW007,Samantha Stevenson,support7@roadsafehq.com,Jaipur,"0109 Murillo Roads Apt. 135, Jessicaview, CT 24077",Electrical Crew,3
CRW008,Nancy Nguyen,support8@roadsafehq.com,Bhopal,"83741 Le Divide Apt. 983, Anthonyshire, KY 57056",Emergency Response,6
CRW009,Phillip Valdez,support9@roadsafehq.com,Mumbai,"983 Martinez Rue, West Mistyborough, AR 26934",Emergency Response,9
CRW010,Kristin Brown,support10@roadsafehq.com,Mumbai,"25118 Campbell Island, West Tinafort, HI 78147",Bridge Repair,5
CRW011,Nathan Gutierrez,support11@roadsafehq.com,Jaipur,"Unit 9914 Box 5184, DPO AE 12169",Signal Maintenance,15
CRW012,Sylvia Scott,support12@roadsafehq.com,Mumbai,"03686 Kathryn Islands, Lake Sarah, AZ 38796",Emergency Response,13
CRW013,Amanda Galloway,support13@roadsafehq.com,Hyderabad,"4166 Wang Mountains, Meyerstown, NM 74419",Signal Maintenance,15
CRW014,Paul Walsh,support14@roadsafehq.com,Bhopal,"948 Jeffrey Flats Suite 908, Port James, PA 51373",Bridge Repair,14
CRW015,Christopher Lewis,support15@roadsafehq.com,Lucknow,"33968 Holland Circles, Joelshire, FL 72451",Mechanical Crew,8
CRW016,Anthony Rogers,support16@roadsafehq.com,Pune,"245 Trevor Junctions Apt. 817, Lake George, CA 64802",Bridge Repair,6
CRW017,Denise Guzman,support17@roadsafehq.com,Chennai,"1512 Robert Springs, Leonardville, SD 40172",Signal Maintenance,14
CRW018,Matthew Bell,support18@roadsafehq.com,Hyderabad,"2579 Elizabeth Forks Suite 176, Lake Julieshire, AL 01189",Signal Maintenance,20
CRW019,Jennifer Harris,support19@roadsafehq.com,Bengaluru,"79916 John Crossroad, Anthonyville, MS 35004",Track Inspection,7
CRW020,Jesus Briggs,support20@roadsafehq.com,Kolkata,"951 Martin Square Suite 435, Bakerfort, WA 01096",Emergency Response,18
CRW021,Gabriel Porter,support21@roadsafehq.com,Mumbai,"670 Dominique Crossroad, Lake Theresa, OH 02244",Mechanical Crew,11
CRW022,Walter Howell,support22@roadsafehq.com,Bhopal,"6055 Megan Cliffs, Christopherville, MN 87345",Electrical Crew,19
CRW023,Dustin Hurst,support23@roadsafehq.com,Bhopal,"5973 Rich Heights, North Kathleenbury, WI 51031",Bridge Repair,5
CRW024,Matthew Thomas,support24@roadsafehq.com,Bengaluru,"379 Jimmy Fall Suite 768, Port Laurenstad, WA 63633",Signal Maintenance,1
CRW025,Angela Bauer,support25@roadsafehq.com,Bhopal,"458 Garcia Vista, West Peter, LA 67952",Signal Maintenance,15
CRW026,Darren Patrick,support26@roadsafehq.com,Lucknow,"USNS Jackson, FPO AE 84378",Emergency Response,1
CRW027,Heather Mills,support27@roadsafehq.com,Chennai,"6457 Nicholson Gardens, South Jasonview, MI 79155",Mechanical Crew,20
CRW028,Jacqueline Smith,support28@roadsafehq.com,Jaipur,"426 Munoz Glens Suite 126, Jillburgh, LA 44242",Bridge Repair,2
CRW029,Olivia Hall,support29@roadsafehq.com,Lucknow,"999 Jenkins Junction Suite 854, Brianport, VT 20706",Mechanical Crew,20
CRW030,Brandi Robbins,support30@roadsafehq.com,Delhi,"Unit 7647 Box 1987, DPO AA 70426",Bridge Repair,17
CRW031,Isaac Sanders,support31@roadsafehq.com,Pune,"5860 Mooney Harbor, Sarahland, IA 59397",Signal Maintenance,16
CRW032,Glenn Davis,support32@roadsafehq.com,Bhopal,"93241 Fry Villages Suite 875, East Teresa, OK 20867",Signal Maintenance,2
CRW033,Walter Aguirre,support33@roadsafehq.com,Hyderabad,"9450 Carolyn Isle, South Larry, PA 17536",Mechanical Crew,19
CRW034,Matthew Williams,support34@roadsafehq.com,Jaipur,"442 Mark Drive Suite 868, North Tracy, CA 94676",Mechanical Crew,3
